2026-02-19 14:00:12 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-02-19 14:00:00', 'MAIN METER 2', '2026-02-19 14:00:00', '26-02-19 14:00',0.00)
2026-02-19 14:00:12 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-02-19 14:00:00', 'MAIN METER 2', '2026-02-19 14:00:00', '26-02-19 14:00',0.00)
2026-02-20 07:00:12 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-02-20 07:00:00', 'MAIN METER 2', '2026-02-20 06:00:00', '26-02-20 07:00',26.34)
2026-02-20 14:00:27 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-02-20 14:00:00', 'MAIN METER 2', '2026-02-20 13:00:00', '26-02-20 14:00',437.30)
2026-02-20 17:00:36 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-02-20 17:00:00', 'MAIN METER 2', '2026-02-20 16:00:00', '26-02-20 17:00',99.17)
2026-02-21 06:00:16 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-02-21 06:00:00', 'MAIN METER 2', '2026-02-21 06:00:00', '26-02-21 06:00',0.00)
2026-02-21 06:00:17 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-02-21 06:00:00', 'MAIN METER 2', '2026-02-21 06:00:00', '26-02-21 06:00',0.00)
2026-02-21 12:00:11 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-02-21 12:00:00', 'MAIN METER 2', '2026-02-21 11:00:00', '26-02-21 12:00',372.44)
2026-02-22 08:00:10 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-02-22 08:00:00', 'MAIN METER 2', '2026-02-22 07:00:00', '26-02-22 08:00',106.48)
2026-02-22 09:00:10 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-02-22 09:00:00', 'MAIN METER 2', '2026-02-22 08:00:00', '26-02-22 09:00',194.78)
2026-02-22 10:00:10 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-02-22 10:00:00', 'MAIN METER 2', '2026-02-22 10:00:00', '26-02-22 10:00',0.00)
2026-02-22 10:00:10 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-02-22 10:00:00', 'MAIN METER 2', '2026-02-22 10:00:00', '26-02-22 10:00',0.00)
2026-02-22 16:00:10 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-02-22 16:00:00', 'MAIN METER 2', '2026-02-22 15:00:00', '26-02-22 16:00',285.77)
2026-02-22 16:00:11 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-02-22 16:00:00', 'MAIN METER 2', '2026-02-22 16:00:00', '26-02-22 16:00',0.00)
2026-02-22 19:00:14 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-02-22 19:00:00', 'MAIN METER 2', '2026-02-22 19:00:00', '26-02-22 19:00',0.00)
2026-02-22 19:00:14 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-02-22 19:00:00', 'MAIN METER 2', '2026-02-22 19:00:00', '26-02-22 19:00',0.00)
2026-02-23 06:00:20 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-02-23 06:00:00', 'MAIN METER 2', '2026-02-23 05:00:00', '26-02-23 06:00',0.00)
2026-02-23 07:00:29 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-02-23 07:00:00', 'MAIN METER 2', '2026-02-23 06:00:00', '26-02-23 07:00',16.50)
2026-02-23 09:00:16 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-02-23 09:00:00', 'MAIN METER 2', '2026-02-23 08:00:00', '26-02-23 09:00',215.62)
2026-02-23 10:00:43 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-02-23 10:00:00', 'MAIN METER 2', '2026-02-23 10:00:00', '26-02-23 10:00',0.00)
2026-02-23 10:00:43 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-02-23 10:00:00', 'MAIN METER 2', '2026-02-23 10:00:00', '26-02-23 10:00',0.00)
2026-02-23 12:00:12 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-02-23 12:00:00', 'MAIN METER 2', '2026-02-23 11:00:00', '26-02-23 12:00',438.00)
2026-02-23 14:00:15 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-02-23 14:00:00', 'MAIN METER 2', '2026-02-23 14:00:00', '26-02-23 14:00',0.00)
2026-02-23 14:00:15 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-02-23 14:00:00', 'MAIN METER 2', '2026-02-23 14:00:00', '26-02-23 14:00',0.00)
2026-02-23 19:00:11 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-02-23 19:00:00', 'MAIN METER 2', '2026-02-23 18:00:00', '26-02-23 19:00',4.59)
2026-02-23 19:00:15 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-02-23 19:00:00', 'MAIN METER 2', '2026-02-23 19:00:00', '26-02-23 19:00',0.00)
2026-02-24 06:00:10 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-02-24 06:00:00', 'MAIN METER 2', '2026-02-24 05:00:00', '26-02-24 06:00',0.00)
2026-02-24 12:00:16 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-02-24 12:00:00', 'MAIN METER 2', '2026-02-24 12:00:00', '26-02-24 12:00',0.00)
2026-02-24 12:00:16 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-02-24 12:00:00', 'MAIN METER 2', '2026-02-24 12:00:00', '26-02-24 12:00',0.00)
2026-02-24 15:00:21 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-02-24 15:00:00', 'MAIN METER 2', '2026-02-24 14:00:00', '26-02-24 15:00',411.60)
2026-02-24 16:00:11 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-02-24 16:00:00', 'MAIN METER 2', '2026-02-24 15:00:00', '26-02-24 16:00',329.09)
2026-02-25 06:00:23 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-02-25 06:00:00', 'MAIN METER 2', '2026-02-25 06:00:00', '26-02-25 06:00',0.00)
2026-02-25 07:00:38 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-02-25 07:00:00', 'MAIN METER 2', '2026-02-25 06:00:00', '26-02-25 07:00',10.21)
2026-02-26 09:00:33 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-02-26 09:00:00', 'MAIN METER 2', '2026-02-26 08:00:00', '26-02-26 09:00',240.16)
2026-02-28 07:00:45 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-02-28 07:00:00', 'MAIN METER 2', '2026-02-28 06:00:00', '26-02-28 07:00',17.98)
2026-02-28 12:00:32 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-02-28 12:00:00', 'MAIN METER 2', '2026-02-28 11:00:00', '26-02-28 12:00',360.49)
2026-02-28 13:00:34 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-02-28 13:00:00', 'MAIN METER 2', '2026-02-28 12:00:00', '26-02-28 13:00',421.27)
2026-03-01 07:00:20 : INSERT INTO `tbl_hourly_prod`(`meter_id`, `datetime`, `meter_name`, `starting_datetime`, `ending_datetime`, `production`) VALUES (101, '2026-03-01 07:00:00', 'MAIN METER 2', '2026-03-01 05:00:00', '26-03-01 07:00',17.63)
